code,name_en,definition_en,unit_code,topic,source_concept
CENSUS_INDV58_C_PROFESNL,Population By Lit Sts And Occupation: c_profesnl (Census 2021),"Source column c_profesnl from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:c_profesnl
CENSUS_INDV58_D_TECHNICIAN,Population By Lit Sts And Occupation: d_technician (Census 2021),"Source column d_technician from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:d_technician
CENSUS_INDV58_E_CLERICAL,Population By Lit Sts And Occupation: e_clerical (Census 2021),"Source column e_clerical from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:e_clerical
CENSUS_INDV58_F_SERVICE,Population By Lit Sts And Occupation: f_service (Census 2021),"Source column f_service from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:f_service
CENSUS_INDV58_G_SKILLAGRI,Population By Lit Sts And Occupation: g_skillagri (Census 2021),"Source column g_skillagri from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:g_skillagri
CENSUS_INDV58_H_CRAFT,Population By Lit Sts And Occupation: h_craft (Census 2021),"Source column h_craft from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:h_craft
CENSUS_INDV58_I_PLANT,Population By Lit Sts And Occupation: i_plant (Census 2021),"Source column i_plant from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:i_plant
CENSUS_INDV58_J_ELEMENTARY,Population By Lit Sts And Occupation: j_elementary (Census 2021),"Source column j_elementary from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:j_elementary
CENSUS_INDV58_K_NOTSTD,Population By Lit Sts And Occupation: k_notstd (Census 2021),"Source column k_notstd from Indv58_PopulationByLitStsAndOccupation.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv58_PopulationByLitStsAndOccupation:k_notstd
CENSUS_INDV59_ROWTOTAL,Population By Lit Sts And Industry: rowtotal (Census 2021),"Source column rowtotal from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:rowtotal
CENSUS_INDV59_A_AGRI,Population By Lit Sts And Industry: a_agri (Census 2021),"Source column a_agri from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:a_agri
CENSUS_INDV59_B_MINING,Population By Lit Sts And Industry: b_mining (Census 2021),"Source column b_mining from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:b_mining
CENSUS_INDV59_C_MANUF,Population By Lit Sts And Industry: c_manuf (Census 2021),"Source column c_manuf from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:c_manuf
CENSUS_INDV59_D_ELECTRI,Population By Lit Sts And Industry: d_electri (Census 2021),"Source column d_electri from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:d_electri
CENSUS_INDV59_E_WATER,Population By Lit Sts And Industry: e_water (Census 2021),"Source column e_water from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:e_water
CENSUS_INDV59_F_CONST,Population By Lit Sts And Industry: f_const (Census 2021),"Source column f_const from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:f_const
CENSUS_INDV59_G_WHOLESALE,Population By Lit Sts And Industry: g_wholesale (Census 2021),"Source column g_wholesale from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:g_wholesale
CENSUS_INDV59_H_TRANSP,Population By Lit Sts And Industry: h_transp (Census 2021),"Source column h_transp from Indv59_PopulationByLitStsAndIndustry.csv, National Population and Housing Census 2021. Source dimension labels and codes are preserved in observation breakdowns; opaque source vocabulary is not guessed.",PERSONS,labor,Indv59_PopulationByLitStsAndIndustry:h_transp
